ID,Date,DateStamp,Total,Type
279,2020-04-27,2020-04-27 18:54:12.880,3173,1
280,2020-04-28,2020-04-28 04:30:07.687,2,0
281,2020-04-29,2020-04-29 00:26:22.707,12521,1
282,2020-04-29,2020-04-29 04:30:05.943,0,0
283,2020-04-30,2020-04-30 04:30:06.497,14,0
284,2020-04-30,2020-04-30 18:01:32.760,15731,1
285,2020-05-01,2020-05-01 04:31:20.793,2974,0
286,2020-05-02,2020-05-02 04:30:08.907,207,0
287,2020-05-02,2020-05-02 11:05:12.727,18124,1
288,2020-05-03,2020-05-03 04:30:05.407,18,0
289,2020-05-03,2020-05-03 22:32:16.220,21259,1
290,2020-05-04,2020-05-04 04:30:05.233,1,0
291,2020-05-05,2020-05-05 04:30:06.133,55,0
292,2020-05-06,2020-05-06 04:30:06.483,54,0
293,2020-05-06,2020-05-06 07:08:20.907,28813,1
294,2020-05-07,2020-05-07 04:30:06.170,39,0
295,2020-05-08,2020-05-08 04:30:05.223,41,0
296,2020-05-09,2020-05-09 04:30:05.230,37,0
297,2020-05-09,2020-05-09 06:49:50.857,42136,1
298,2020-05-10,2020-05-10 04:30:05.707,28,0
299,2020-05-11,2020-05-11 04:30:05.610,21,0
300,2020-05-12,2020-05-12 04:30:05.767,31,0
301,2020-05-12,2020-05-12 15:25:34.640,48227,1
302,2020-05-13,2020-05-13 04:30:05.930,17,0
303,2020-05-14,2020-05-14 04:30:06.073,27,0
304,2020-05-15,2020-05-15 04:30:07.687,25,0
305,2020-05-16,2020-05-16 04:30:05.133,22,0
306,2020-05-16,2020-05-16 10:58:05.103,43804,1
307,2020-05-17,2020-05-17 04:30:05.970,20,0
308,2020-05-17,2020-05-17 22:25:24.217,14566,1
309,2020-05-18,2020-05-18 04:30:05.140,0,0
310,2020-05-19,2020-05-19 04:30:06.027,25,0
311,2020-05-20,2020-05-20 04:30:05.423,31,0
312,2020-05-20,2020-05-20 13:45:06.017,47923,1
313,2020-05-21,2020-05-21 04:30:05.450,23,0
314,2020-05-22,2020-05-22 04:30:06.190,31,0
315,2020-05-23,2020-05-23 04:30:05.507,31,0
316,2020-05-24,2020-05-24 04:30:07.070,26,0
317,2020-05-24,2020-05-24 14:19:15.560,43015,1
318,2020-05-25,2020-05-25 04:30:06.153,15,0
319,2020-05-26,2020-05-26 04:30:06.083,33,0
320,2020-05-27,2020-05-27 04:30:05.353,26,0
321,2020-05-28,2020-05-28 04:30:05.263,30,0
322,2020-05-28,2020-05-28 11:46:41.147,65767,1
323,2020-05-29,2020-05-29 04:30:06.357,17,0
324,2020-05-30,2020-05-30 04:30:05.193,30,0
325,2020-05-31,2020-05-31 04:30:05.957,18,0
326,2020-06-01,2020-06-01 04:30:42.200,1459,0
327,2020-06-02,2020-06-02 04:30:06.510,96,0
328,2020-06-02,2020-06-02 09:33:54.107,53475,1
329,2020-06-02,2020-06-02 09:33:55.543,52716,1
330,2020-06-03,2020-06-03 04:30:05.283,20,0
331,2020-06-04,2020-06-04 04:30:10.693,256,0
332,2020-06-05,2020-06-05 04:30:05.597,26,0
333,2020-06-06,2020-06-06 04:30:05.450,20,0
334,2020-06-07,2020-06-07 04:30:05.933,25,0
335,2020-06-07,2020-06-07 11:42:14.817,53983,1
336,2020-06-08,2020-06-08 04:30:06.133,10,0
337,2020-06-09,2020-06-09 04:30:05.290,18,0
338,2020-06-10,2020-06-10 04:30:05.860,15,0
339,2020-06-11,2020-06-11 04:30:06.123,19,0
340,2020-06-12,2020-06-12 04:30:05.840,22,0
341,2020-06-12,2020-06-12 19:01:48.187,69614,1
342,2020-06-12,2020-06-12 19:01:54.863,57734,1
343,2020-06-13,2020-06-13 04:30:04.817,0,0
344,2020-06-14,2020-06-14 04:30:05.650,12,0
345,2020-06-15,2020-06-15 04:30:05.703,7,0
346,2020-06-16,2020-06-16 04:30:05.960,17,0
347,2020-06-16,2020-06-16 21:53:13.127,45645,1
348,2020-06-17,2020-06-17 04:30:05.620,0,0
349,2020-06-18,2020-06-18 04:30:05.503,16,0
350,2020-06-18,2020-06-18 20:12:16.267,13209,1
351,2020-06-18,2020-06-18 20:12:18.567,12416,1
352,2020-06-18,2020-06-18 20:12:18.673,10153,1
353,2020-06-19,2020-06-19 04:30:05.863,0,0
354,2020-06-19,2020-06-19 18:06:35.953,14,1
355,2020-06-20,2020-06-20 04:30:05.373,2,0
356,2020-06-20,2020-06-20 09:13:19.727,2,1
357,2020-06-20,2020-06-20 19:44:56.607,94,1
358,2020-06-21,2020-06-21 04:30:05.897,0,0
359,2020-06-21,2020-06-21 07:25:30.510,3,1
360,2020-06-21,2020-06-21 12:08:36.783,10,1
361,2020-06-21,2020-06-21 15:30:23.760,5,1
362,2020-06-21,2020-06-21 17:40:47.853,4,1
363,2020-06-21,2020-06-21 18:50:52.953,-2,1
364,2020-06-21,2020-06-21 21:38:20.820,28,1
365,2020-06-22,2020-06-22 04:30:07.513,0,0
366,2020-06-22,2020-06-22 06:06:00.980,1,1
367,2020-06-22,2020-06-22 09:45:24.140,176065,1
368,2020-06-23,2020-06-23 04:30:05.813,28,0
369,2020-06-23,2020-06-23 12:32:29.270,731,1
370,2020-06-24,2020-06-24 04:30:05.563,34,0
371,2020-06-25,2020-06-25 04:30:05.977,37,0
372,2020-06-25,2020-06-25 14:13:56.337,0,1
373,2020-06-26,2020-06-26 04:30:07.290,42,0
374,2020-06-27,2020-06-27 04:30:08.537,43,0
375,2020-06-28,2020-06-28 04:43:01.827,29668,0
376,2020-06-29,2020-06-29 04:43:17.037,30554,0
377,2020-06-30,2020-06-30 04:39:38.990,22097,0
378,2020-07-01,2020-07-01 04:37:19.417,16374,0
379,2020-07-02,2020-07-02 04:36:18.180,13635,0
380,2020-07-03,2020-07-03 04:35:44.007,12733,0
381,2020-07-04,2020-07-04 04:36:23.813,14192,0
382,2020-07-05,2020-07-05 04:43:42.320,31129,0
383,2020-07-06,2020-07-06 04:46:40.043,38080,0
384,2020-07-07,2020-07-07 04:35:54.757,13656,0
385,2020-07-08,2020-07-08 04:36:43.827,14372,0
386,2020-07-09,2020-07-09 04:37:11.033,15144,0
387,2020-07-10,2020-07-10 04:38:12.647,18295,0
388,2020-07-11,2020-07-11 04:35:45.647,12586,0
389,2020-07-12,2020-07-12 04:45:37.810,34694,0
390,2020-07-13,2020-07-13 04:39:51.083,21723,0
391,2020-07-14,2020-07-14 04:35:27.090,11997,0
392,2020-07-15,2020-07-15 04:36:03.423,12732,0
393,2020-07-16,2020-07-16 04:36:27.743,12780,0
394,2020-07-17,2020-07-17 04:35:30.353,12229,0
395,2020-07-18,2020-07-18 04:35:23.473,11833,0
396,2020-07-19,2020-07-19 04:38:57.400,19628,0
397,2020-07-20,2020-07-20 04:38:09.173,17967,0
398,2020-07-21,2020-07-21 04:35:59.140,12886,0
399,2020-07-22,2020-07-22 04:35:09.010,11380,0
400,2020-07-23,2020-07-23 04:35:42.630,12014,0
401,2020-07-24,2020-07-24 04:36:24.803,14408,0
402,2020-07-25,2020-07-25 04:35:27.730,11807,0
403,2020-07-26,2020-07-26 04:38:44.617,18854,0
404,2020-07-27,2020-07-27 04:41:24.280,25909,0
405,2020-07-28,2020-07-28 04:35:49.243,12481,0
406,2020-07-29,2020-07-29 04:35:25.337,11999,0
407,2020-07-30,2020-07-30 04:35:37.383,11600,0
408,2020-07-31,2020-07-31 04:35:39.580,12562,0
409,2020-08-01,2020-08-01 04:35:35.630,12221,0
410,2020-08-02,2020-08-02 04:37:16.680,16375,0
411,2020-08-03,2020-08-03 04:37:03.223,16160,0
412,2020-08-04,2020-08-04 04:35:04.043,11594,0
413,2020-08-05,2020-08-05 04:35:19.200,12152,0
414,2020-08-06,2020-08-06 04:35:50.510,13133,0
415,2020-08-07,2020-08-07 04:35:17.520,12032,0
416,2020-08-08,2020-08-08 04:35:22.473,12217,0
417,2020-08-09,2020-08-09 04:46:59.940,38227,0
418,2020-08-10,2020-08-10 04:40:45.933,23837,0
419,2020-08-11,2020-08-11 04:37:11.477,16093,0
420,2020-08-12,2020-08-12 04:36:08.833,13672,0
421,2020-08-13,2020-08-13 04:35:45.733,12727,0
422,2020-08-14,2020-08-14 04:35:34.180,12443,0
423,2020-08-15,2020-08-15 04:35:17.117,11826,0
424,2020-08-16,2020-08-16 04:35:58.997,13418,0
425,2020-08-17,2020-08-17 04:36:14.860,13666,0
426,2020-08-18,2020-08-18 04:35:32.893,12224,0
427,2020-08-19,2020-08-19 04:35:27.633,12235,0
428,2020-08-20,2020-08-20 04:35:20.783,11793,0
429,2020-08-21,2020-08-21 04:36:01.170,13055,0
430,2020-08-22,2020-08-22 04:36:15.740,13831,0
431,2020-08-23,2020-08-23 04:36:15.627,13929,0
432,2020-08-24,2020-08-24 04:40:56.177,24522,0
433,2020-08-25,2020-08-25 04:35:18.980,11642,0
434,2020-08-26,2020-08-26 04:34:59.890,11017,0
435,2020-08-27,2020-08-27 04:35:09.040,11532,0
436,2020-08-28,2020-08-28 04:35:11.667,11461,0
437,2020-08-29,2020-08-29 04:35:31.937,12103,0
438,2020-08-30,2020-08-30 04:35:28.630,12501,0
439,2020-08-31,2020-08-31 04:35:16.967,11968,0
440,2020-09-01,2020-09-01 04:35:04.580,11489,0
441,2020-09-02,2020-09-02 04:34:27.537,10349,0
442,2020-09-03,2020-09-03 04:34:35.963,10402,0
443,2020-09-04,2020-09-04 04:34:32.547,10256,0
444,2020-09-05,2020-09-05 04:35:38.857,12428,0
445,2020-09-06,2020-09-06 04:47:24.593,38981,0
446,2020-09-07,2020-09-07 04:36:53.300,15337,0
447,2020-09-08,2020-09-08 04:36:28.820,14501,0
448,2020-09-09,2020-09-09 04:36:08.517,13487,0
449,2020-09-10,2020-09-10 04:36:57.607,15233,0
450,2020-09-11,2020-09-11 04:35:38.647,12338,0
451,2020-09-12,2020-09-12 04:35:47.833,12607,0
452,2020-09-13,2020-09-13 04:36:37.533,14728,0
453,2020-09-14,2020-09-14 04:36:45.380,14849,0
454,2020-09-15,2020-09-15 04:34:51.027,10617,0
455,2020-09-16,2020-09-16 04:34:47.530,10635,0
456,2020-09-17,2020-09-17 04:35:15.653,11702,0
457,2020-09-18,2020-09-18 04:35:03.730,11075,0
458,2020-09-19,2020-09-19 04:35:36.040,12272,0
459,2020-09-20,2020-09-20 04:37:07.930,15287,0
460,2020-09-21,2020-09-21 04:36:52.277,15085,0
461,2020-09-22,2020-09-22 04:34:15.240,9274,0
462,2020-09-23,2020-09-23 04:34:03.803,8899,0
