ID,TotalKey,Date
332,252611,2021-05-01 17:37:43.547
333,245970,2021-05-02 09:05:50.343
334,236043,2021-05-03 12:34:11.250
335,233437,2021-05-04 10:02:21.283
336,237041,2021-05-05 17:05:52.440
337,234371,2021-05-06 09:41:20.583
338,234547,2021-05-07 09:51:09.177
339,231523,2021-05-08 10:07:47.953
340,232119,2021-05-09 08:10:00.340
341,228483,2021-05-10 08:49:03.363
342,227803,2021-05-11 09:49:09.267
343,228866,2021-05-12 10:02:38.193
344,229427,2021-05-13 09:43:27.597
345,227841,2021-05-14 10:00:27.040
346,235604,2021-05-15 19:52:27.710
347,246122,2021-05-16 09:52:02.340
348,245601,2021-05-17 09:40:41.407
349,249359,2021-05-18 09:14:55.133
350,250962,2021-05-19 09:31:04.493
351,251237,2021-05-20 09:41:00.687
352,254404,2021-05-21 09:24:05.713
353,260342,2021-05-22 21:18:42.703
354,229432,2021-05-23 12:48:17.997
355,224409,2021-05-25 10:18:31.300
356,222469,2021-05-26 11:02:06.743
357,221528,2021-05-27 10:05:28.197
358,220163,2021-05-28 09:42:17.170
359,218909,2021-05-29 10:35:04.917
360,221561,2021-05-30 10:59:32.670
361,203168,2021-05-31 10:00:49.290
362,196842,2021-06-01 09:16:22.567
363,197523,2021-06-02 10:59:18.600
364,200195,2021-06-03 13:36:10.810
365,189000,2021-06-04 09:32:33.930
366,188689,2021-06-05 09:56:28.030
367,189069,2021-06-06 10:04:08.630
368,189917,2021-06-07 10:11:26.937
369,193709,2021-06-08 15:06:17.980
370,191887,2021-06-09 09:31:19.093
371,195008,2021-06-10 14:55:31.450
372,195841,2021-06-11 10:23:18.553
373,200370,2021-06-12 14:39:48.273
374,199000,2021-06-13 07:41:38.280
375,199566,2021-06-14 08:46:23.347
376,198111,2021-06-15 10:06:22.883
377,201042,2021-06-16 12:28:31.730
378,199158,2021-06-17 09:26:32.133
379,200403,2021-06-18 09:52:38.847
380,198039,2021-06-19 10:48:21.183
381,204152,2021-06-20 22:02:44.323
382,194931,2021-06-21 11:40:36.580
383,214365,2021-06-22 22:12:32.723
384,210550,2021-06-23 15:32:39.740
385,215160,2021-06-24 09:15:01.893
386,240525,2021-06-25 09:50:45.890
387,287799,2021-06-26 23:12:26.337
388,298888,2021-06-27 19:07:19.987
389,299062,2021-06-28 14:30:15.923
390,305663,2021-06-29 18:47:59.480
391,347156,2021-06-30 09:55:38.780
392,277241,2021-07-01 12:07:11.737
393,321002,2021-07-02 12:20:13.393
394,411354,2021-07-03 23:11:13.897
395,418691,2021-07-04 10:46:57.410
396,6690,2021-07-05 10:55:50.280
397,370525,2021-07-07 11:01:18.423
398,405023,2021-07-08 09:43:21.500
399,469055,2021-07-09 00:35:14.700
400,289722,2021-07-10 23:43:54.470
401,345351,2021-07-11 17:11:25.910
402,388491,2021-07-12 09:04:38.663
403,402661,2021-07-13 08:22:28.320
404,418176,2021-07-14 15:36:47.237
405,435107,2021-07-15 21:38:02.957
406,407648,2021-07-16 10:49:16.637
407,383682,2021-07-17 16:50:24.990
408,345663,2021-07-18 17:17:34.203
409,225969,2021-07-20 09:59:59.787
410,228416,2021-07-21 08:21:21.087
411,229522,2021-07-22 09:18:32.920
412,229275,2021-07-23 09:10:28.497
413,232531,2021-07-24 09:44:46.827
414,234153,2021-07-25 07:31:57.300
415,245790,2021-07-26 10:28:32.853
416,251314,2021-07-27 19:51:11.510
417,245184,2021-07-28 08:59:35.490
418,247471,2021-07-29 10:20:14.620
419,251457,2021-07-30 11:16:38.893
420,254282,2021-07-31 11:14:18.203
421,249126,2021-08-01 11:44:20.380
422,240137,2021-08-02 10:40:30.113
423,259167,2021-08-03 14:19:58.917
424,254462,2021-08-04 10:55:13.067
425,265051,2021-08-05 11:36:17.683
426,260433,2021-08-06 09:33:58.800
427,254235,2021-08-07 07:29:44.733
428,248958,2021-08-08 07:23:13.020
429,246727,2021-08-09 07:05:20.760
430,232471,2021-08-10 08:43:41.300
431,237838,2021-08-11 09:24:22.973
432,251864,2021-08-12 11:20:47.717
433,257995,2021-08-13 08:24:10.293
434,263485,2021-08-14 00:00:00.000
435,272186,2021-08-15 13:22:57.390
